timestamps,load,wind_generation,solar_generation,spot_price
2019-05-29T14:00:00.0,132.654137254136,206.59262251064374,257.46335624730585,0.3956
2019-05-29T15:00:00.0,154.11332261396788,119.69606295803457,176.60174891150743,0.44430000000000003
2019-05-29T16:00:00.0,165.607047949932,111.52105755287705,84.10817750960784,0.49060000000000004
2019-05-29T17:00:00.0,168.3671544529292,54.59924997460806,21.96431420527375,0.5214
2019-05-29T18:00:00.0,188.29438186063337,29.222222230989058,7.228477249283954,0.5261999999999999
2019-05-29T19:00:00.0,203.04256041192943,71.79738677756109,0.11206700761015394,0.4662
2019-05-29T20:00:00.0,219.19764592841935,98.2837318826718,-0.0,0.3182
2019-05-29T21:00:00.0,210.28001902519605,48.38307014976233,-0.0,0.31410000000000005
2019-05-29T22:00:00.0,197.0171173322767,53.715544685698596,-0.0,0.1698
2019-05-29T23:00:00.0,195.66417677572437,69.50755502579838,-0.0,0.2415
2019-05-30T00:00:00.0,210.78476503347264,78.07598977081484,-0.0,0.22039999999999998
2019-05-30T01:00:00.0,213.48826260474945,74.97392788566988,-0.0,0.11439999999999999
2019-05-30T02:00:00.0,211.87928703386538,67.9407739158037,0.8225896855887882,0.0452
2019-05-30T03:00:00.0,214.8172565041964,96.38662344336876,9.310531685217832,0.05059999999999999
2019-05-30T04:00:00.0,188.1586925052784,1.7379484988362686,30.887121443378696,0.038299999999999994
2019-05-30T05:00:00.0,168.63621682612367,0.0,103.68160053943886,0.0889
2019-05-30T06:00:00.0,165.82799764295456,0.0,188.01149585111125,0.10439999999999999
2019-05-30T07:00:00.0,152.3178728509498,3.6408360781736393,283.7013949491234,0.045
2019-05-30T08:00:00.0,153.01188245309092,273.3571881544966,243.27760466935584,0.0246
2019-05-30T09:00:00.0,139.49464154680945,247.85857367302123,268.5748903750614,0.0215
2019-05-30T10:00:00.0,153.22574309459063,242.60544634434794,139.28975001420608,0.0223
2019-05-30T11:00:00.0,145.43173406192065,259.0397056542679,150.87846709191732,0.0079
2019-05-30T12:00:00.0,126.9716581761628,373.910982042618,298.15330790168855,0.0058
2019-05-30T13:00:00.0,127.58648744850075,392.56137827910766,206.51529037308435,0.022400000000000003
2019-05-30T14:00:00.0,161.19765423298927,360.65931339962077,139.39654761209863,0.0718
2019-05-30T15:00:00.0,196.76477159134532,311.34902790382597,69.52189900388709,0.245
2019-05-30T16:00:00.0,197.1623809055731,354.1939306707335,39.54955570621014,0.2942000000000001
2019-05-30T17:00:00.0,195.08900078219585,372.24119166821646,6.56573698552568,0.1997
2019-05-30T18:00:00.0,192.6796178248975,410.1809007598856,0.33585719617524723,0.047599999999999996
2019-05-30T19:00:00.0,190.4765347664844,339.0146527019342,0.0,0.0675
2019-05-30T20:00:00.0,201.37268310317663,343.7105258721494,-0.0,0.0741
2019-05-30T21:00:00.0,199.19467960563702,364.8230292595064,-0.0,0.0412
2019-05-30T22:00:00.0,189.15497341114593,294.0594897594996,-0.0,0.0239
2019-05-30T23:00:00.0,177.8555636695862,317.8719210615828,-0.0,0.0226
2019-05-31T00:00:00.0,179.82440894532445,231.1418031992576,-0.0,0.023799999999999998
2019-05-31T01:00:00.0,171.1820056918459,129.11088979678806,-0.0,0.0202
2019-05-31T02:00:00.0,168.46628178484355,145.27153832661287,0.0412233729086257,0.0161
2019-05-31T03:00:00.0,186.2436743624508,221.90050539124937,7.008865848462569,0.101
2019-05-31T04:00:00.0,181.26016235285076,182.18209750593624,18.933434498077037,0.34159999999999996
2019-05-31T05:00:00.0,185.26449070458537,139.0370770388785,21.14806388678085,0.4006
2019-05-31T06:00:00.0,212.1256956508612,189.60246789109718,44.610033331759695,0.40490000000000004
2019-05-31T07:00:00.0,199.36282087431852,134.80132957776166,90.47351438274853,0.3883
2019-05-31T08:00:00.0,192.89870398464348,47.47522220506925,67.79456742607466,0.37
2019-05-31T09:00:00.0,184.83643386017323,39.6249437659422,85.04820678460769,0.3563
2019-05-31T10:00:00.0,180.79283954463855,21.624532593020692,227.94412539030637,0.3482
2019-05-31T11:00:00.0,145.8536727505744,151.5574654058414,244.78884014115286,0.32770000000000005
2019-05-31T12:00:00.0,141.95085368246254,126.63818993184145,247.74072535796884,0.3
2019-05-31T13:00:00.0,125.17791602744767,121.5432465811188,266.3084558128782,0.2914
2019-05-31T14:00:00.0,133.98465248198835,153.17754538465203,236.16865230245742,0.2979
2019-05-31T15:00:00.0,160.54106982104358,126.25471062382128,172.80232131070127,0.3677
2019-05-31T16:00:00.0,179.36390248169639,124.0042598027429,82.27148773320255,0.4005
2019-05-31T17:00:00.0,153.23129411744972,52.31017675310503,21.913705552077158,0.45270000000000005
2019-05-31T18:00:00.0,167.07749409391383,22.817408842459397,7.512901967684304,0.4639
2019-05-31T19:00:00.0,168.86519864052514,0.0,0.4398187408443827,0.4457
2019-05-31T20:00:00.0,194.6674369425753,0.0,-0.0,0.4293
2019-05-31T21:00:00.0,196.04300641110754,0.0,-0.0,0.3321
2019-05-31T22:00:00.0,171.3010796102856,0.0,-0.0,0.15630000000000002
2019-05-31T23:00:00.0,168.19675467686838,11.915602169089812,-0.0,0.131
2019-06-01T00:00:00.0,158.33125543107087,77.6814481299824,-0.0,0.06860000000000001
2019-06-01T01:00:00.0,150.1782812002383,77.67914287414104,-0.0,0.0493
2019-06-01T02:00:00.0,144.39845816963347,51.96053481401448,0.10130469994691983,0.039200000000000006
2019-06-01T03:00:00.0,154.43784374169994,71.11192856248525,5.624597271646955,0.049800000000000004
2019-06-01T04:00:00.0,150.98816683466495,112.1135703808368,16.45536863618434,0.1702
